Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Type_of_Structure,Work_Description,Active_Parcel,District
"DEVONLY-2023-00868","2023-02-03 12:00:00",,,,"Development Only Permit","Residential","New Building","Applicant Revisions",,,,,"00299685","Dwelling - Multiple Units","186-188 Crown, Halifax, Nova Scotia is an existing property with a 2 units property zoned R-2P that allow a 4 units development. The current neglected property has been used as a two units, apartment with first floor 2 bedroom plus den apartment, and rooming apartment in the second level with 3 bedrooms shared accommodation apartment. The property could perhaps be described as the worse property in this well-developed street. There are assorted types of properties from single houses, apartments and condominium types of developments.

The development application is a multiunit 10 Units) for the 6,562 Sq. Ft Lot. The proposal has taken all Land Use Bylaws in considerations and has met all requirements except the amount of units proposed for an 10 units multiunit apartment building in this current R-2P zoning to move towards Multiunit development for a R3 Zoning requirements. The hope is to make this development cost effective. This would allow the possibilities to make a potential affordable housing for the greater public use. Our clients, Mr. Ahmad Abahramian has requested to propose more units for the new development to make sure it is both a project that will help to improve the street as well units that will allow tenants for comfortable spaces as well financially feasible. It is an opportunity to remove/demolish the existing property and start from the ground. The client believe by adding units substantially, it would allow financially make these expenses possible to build as the cost of construction has gone up substantially.","Y","District 09"
"DEVONLY-2023-02692","2023-03-22 12:00:00","2023-03-31 12:00:00","2023-03-31 12:00:00","2024-03-31 12:00:00","Development Only Permit","Residential","New Building","Completed",94163,4389,"HIGHWAY 2","WELLINGTON","00529834","Dwelling - Single Detached","Construct single unit dwelling","Y","District 01"
"DEVONLY-2023-04311","2023-04-14 12:00:00","2024-02-09 12:00:00","2024-02-09 12:00:00","2025-02-09 12:00:00","Development Only Permit","Residential","New Building","Completed",68717,5688,"WEST ST","HALIFAX","00152074","Dwelling - Multiple Units","5 storey, 16 unit multi-residential building located on West Street in Halifax.","Y","District 08"
"DEVONLY-2021-11313","2021-06-15 12:00:00","2021-06-25 12:00:00","2021-06-25 12:00:00","2022-06-25 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",119872,34,"HAMPSTEAD CRT","COLE HARBOUR","40631582","Accessory Structure","10 x12 shed","Y","District 04"
"DEVONLY-2021-12339","2021-07-01 12:00:00",,"2021-07-16 12:00:00",,"Development Only Permit","Residential","Accessory Structure","Withdrawn",41505,48,"CAVENDISH DR","LOWER SACKVILLE","40090896","Accessory Structure","construction of 10x18 garage","Y","District 15"
"DEVONLY-2021-13231","2021-07-17 12:00:00","2021-08-18 12:00:00","2021-08-18 12:00:00","2022-08-18 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",72706,2777,"GEORGE DAUPHINEE AVE","HALIFAX","00016717","Accessory Structure","Request to build a garage, shed, 5.43 meters by 3.65 meters equaling 19.81 square meters.  With a height of 4.13 meters on the back right of our property. 
The 12.7-centimeter-thick concert slab will be 76.2 centimeters from the back-property line and 40.64 centimeters from the right-side property line. 
Added as requested.
Located 2.44 m from deck & 5.94 m from house.
Re-attached site plan with these added.
Added floor plan & elevations documents","Y","District 09"
"DEVONLY-2021-14055","2021-08-16 12:00:00","2021-09-10 12:00:00","2021-09-10 12:00:00","2022-09-10 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",40613,41,"QUEENS CRT","LOWER SACKVILLE","00445536","Accessory Structure","Constructing 12x17 shed","Y","District 15"
"DEVONLY-2021-14691","2021-08-31 12:00:00","2021-09-28 12:00:00","2021-09-28 12:00:00","2022-09-28 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",59316,3851,"ROBIE ST","HALIFAX","40876781","Mixed Use - Residential & Other Use(s)","10x15 shed","Y","District 08"
"DEVONLY-2021-15450","2021-09-06 12:00:00","2021-09-10 12:00:00","2021-09-10 12:00:00","2022-09-10 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",19700,156,"RUFUS AVE","HALIFAX","00323238","Accessory Structure","Relocate existing 12 x 16 shed to new location in rear yard.","Y","District 10"
"DEVONLY-2021-16421","2021-09-27 12:00:00",,"2021-10-06 12:00:00",,"Development Only Permit","Residential","Renovation","Withdrawn",54696,18,"EASTBROOK AVE","DARTMOUTH","00039602","Dwelling - Semi-Detached","We are adding on to the back and side of the existing home as well as adding a full second floor
** this is a detached home not a 'SEMI-DETACHED' you site will not allow me to select single detached","Y","District 05"
